Date_Time,Cell49,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:28:11,0.621,0.621,Cell49
2022-10-10 12:28:12,0.616,0.616,Cell49
2022-10-10 12:28:13,0.609,0.609,Cell49
2022-10-10 12:28:38,0.339,0.339,Cell49
2022-10-10 12:28:40,0.313,0.313,Cell49
2022-10-10 12:28:56,0.197,0.197,Cell49
2022-10-10 12:28:58,0.183,0.183,Cell49
2022-10-10 12:28:59,0.179,0.179,Cell49
2022-10-10 12:29:09,0.134,0.134,Cell49
2022-10-10 12:29:11,0.128,0.128,Cell49
2022-10-10 12:29:14,0.122,0.122,Cell49
2022-10-10 12:29:14,0.118,0.118,Cell49
2022-10-10 12:29:16,0.112,0.112,Cell49
2022-10-10 12:29:20,0.105,0.105,Cell49
2022-10-10 12:29:21,0.102,0.102,Cell49
2022-10-10 12:29:22,0.099,0.099,Cell49
2022-10-10 12:29:29,0.076,0.076,Cell49
2022-10-10 12:29:31,0.071,0.071,Cell49
2022-10-10 12:59:02,0.864,0.864,Cell49
2022-10-10 12:59:10,0.851,0.851,Cell49
2022-10-10 13:00:02,0.792,0.792,Cell49
2022-10-10 13:00:09,0.828,0.828,Cell49
2022-10-10 13:00:11,0.825,0.825,Cell49
2022-10-10 13:00:13,0.816,0.816,Cell49
2022-10-10 13:00:14,0.812,0.812,Cell49
2022-10-10 13:00:16,0.804,0.804,Cell49
2022-10-10 13:00:21,0.786,0.786,Cell49
2022-10-10 13:00:22,0.782,0.782,Cell49
2022-10-10 13:00:25,0.764,0.764,Cell49
2022-10-10 13:00:27,0.752,0.752,Cell49
2022-10-10 13:00:31,0.725,0.725,Cell49
2022-10-10 13:00:31,0.717,0.717,Cell49
2022-10-10 13:00:32,0.714,0.714,Cell49
2022-10-10 13:00:33,0.701,0.701,Cell49
2022-10-10 13:00:34,0.7,0.7,Cell49
2022-10-10 13:00:35,0.69,0.69,Cell49
2022-10-10 13:00:36,0.681,0.681,Cell49
2022-10-10 13:00:37,0.675,0.675,Cell49
2022-10-10 13:00:39,0.665,0.665,Cell49
2022-10-10 13:00:40,0.663,0.663,Cell49
2022-10-10 13:00:41,0.649,0.649,Cell49
2022-10-10 13:00:42,0.642,0.642,Cell49
2022-10-10 13:00:43,0.64,0.64,Cell49
2022-10-10 13:00:44,0.627,0.627,Cell49
2022-10-10 13:00:45,0.623,0.623,Cell49
2022-10-10 13:00:46,0.61,0.61,Cell49
2022-10-10 13:00:49,0.588,0.588,Cell49
2022-10-10 13:00:53,0.543,0.543,Cell49
2022-10-10 13:00:54,0.527,0.527,Cell49
2022-10-10 13:00:55,0.518,0.518,Cell49
2022-10-10 13:00:57,0.485,0.485,Cell49
2022-10-10 13:01:05,0.354,0.354,Cell49
2022-10-10 13:01:06,0.339,0.339,Cell49
2022-10-10 13:01:07,0.321,0.321,Cell49
2022-10-10 13:01:08,0.31,0.31,Cell49
2022-10-10 13:01:09,0.303,0.303,Cell49
2022-10-10 13:01:10,0.285,0.285,Cell49
2022-10-10 13:01:12,0.263,0.263,Cell49
2022-10-10 13:01:13,0.255,0.255,Cell49
2022-10-10 13:01:14,0.249,0.249,Cell49
2022-10-10 13:01:16,0.238,0.238,Cell49
2022-10-10 13:01:17,0.238,0.238,Cell49
2022-10-10 13:01:18,0.231,0.231,Cell49
2022-10-10 13:01:19,0.225,0.225,Cell49
2022-10-10 13:01:20,0.213,0.213,Cell49
2022-10-10 13:01:21,0.206,0.206,Cell49
2022-10-10 13:01:22,0.199,0.199,Cell49
2022-10-10 13:01:23,0.196,0.196,Cell49
2022-10-10 13:01:24,0.187,0.187,Cell49
2022-10-10 13:01:25,0.178,0.178,Cell49
2022-10-10 13:01:26,0.174,0.174,Cell49
2022-10-10 13:01:27,0.168,0.168,Cell49
2022-10-10 13:01:28,0.165,0.165,Cell49
2022-10-10 13:01:29,0.155,0.155,Cell49
2022-10-10 13:01:30,0.15,0.15,Cell49
