Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:31:19,0.017,Cell10
2022-10-10 12:32:33,0.011,Cell10
2022-10-10 12:43:54,0.061,Cell10
2022-10-10 12:44:11,0.054,Cell10
2022-10-10 13:02:56,0.022,Cell10
2022-10-10 13:04:00,0.015,Cell10
2022-10-10 13:15:48,0.073,Cell10
2022-10-10 13:15:59,0.071,Cell10
2022-10-10 13:16:22,0.062,Cell10
2022-10-10 13:36:59,0.012,Cell10
2022-10-10 13:37:08,0.013,Cell10
2022-10-10 13:38:05,0.01,Cell10
2022-10-10 13:38:30,0.009,Cell10
2022-10-10 13:38:48,0.009,Cell10
2022-10-10 13:48:37,0.07,Cell10
2022-10-10 13:48:39,0.07,Cell10
2022-10-10 13:49:11,0.059,Cell10
2022-10-10 13:49:12,0.059,Cell10
2022-10-10 13:49:24,0.054,Cell10
2022-10-10 13:49:32,0.051,Cell10
2022-10-10 13:49:56,0.038,Cell10
2022-10-10 13:49:58,0.037,Cell10
2022-10-10 14:40:21,0.955,Cell10
