Date_Time,Cell22,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:24,0.024,0.024,Cell22
2022-10-10 12:31:55,0.014,0.014,Cell22
2022-10-10 12:32:40,0.011,0.011,Cell22
2022-10-10 12:45:16,0.957,0.957,Cell22
2022-10-10 13:01:38,0.121,0.121,Cell22
2022-10-10 13:02:53,0.024,0.024,Cell22
2022-10-10 13:02:58,0.022,0.022,Cell22
2022-10-10 13:15:42,0.075,0.075,Cell22
2022-10-10 13:15:56,0.072,0.072,Cell22
2022-10-10 13:31:07,0.924,0.924,Cell22
2022-10-10 13:34:08,0.146,0.146,Cell22
2022-10-10 13:34:19,0.108,0.108,Cell22
2022-10-10 13:34:41,0.046,0.046,Cell22
2022-10-10 13:36:17,0.016,0.016,Cell22
2022-10-10 13:37:20,0.012,0.012,Cell22
2022-10-10 14:41:43,0.93,0.93,Cell22
2022-10-10 14:43:39,0.96,0.96,Cell22
