time,current,voltage,power,pressure_anode_inlet,pressure_anode_outlet,pressure_cathode_inlet,pressure_cathode_outlet,temp_anode_endplate,temp_anode_dewpoint_water,temp_anode_inlet,temp_anode_outlet,temp_cathode_dewpoint_water,temp_cathode_inlet,temp_cathode_outlet,total_anode_stack_flow,total_cathode_stack_flow
1,0,0.9346,0,110.609528,110.832759,110.103653,108.792114,83.546082,53.397144,67.704399,37.39006,63.124355,68.504524,59.230812,0.084,0.349
2,0,0.9356,0,110.204828,110.832759,109.597778,108.083206,83.607811,53.410065,67.679146,37.39006,63.137276,68.466644,59.192055,0.084,0.349
3,0,0.9339,0,110.204828,110.832759,109.597778,108.589569,83.6325,53.448822,67.666519,37.40329,63.137276,68.517151,59.204975,0.084,0.349
4,0,0.9326,0,110.204828,110.832759,109.800128,109.298477,83.620155,53.448822,67.717026,37.35038,63.137276,68.504524,59.192055,0.084,0.349
5,0,0.9326,0,110.204828,110.731657,110.002478,109.39975,83.509048,53.384224,67.704399,37.35038,63.137276,68.479271,59.166214,0.084,0.349
6,0,0.9336,0,110.204828,110.832759,109.800128,108.387024,83.607811,53.474663,67.666519,37.39006,63.150192,68.466644,59.140377,0.084,0.349
7,0,0.9336,0,110.508353,110.731657,109.395428,108.589569,83.6325,53.448822,67.679146,37.323925,63.111435,68.555031,59.127457,0.084,0.349
8,0,0.9326,0,110.508353,110.428352,109.597778,108.589569,83.570778,53.435902,67.641266,37.363605,63.137276,68.580276,59.101616,0.084,0.349
9,0,0.931,0,110.204828,110.428352,109.800128,108.994659,83.48436,53.461742,67.641266,37.363605,63.124355,68.567657,59.114536,0.084,0.349
10,0,0.9314,0,109.901303,110.529453,109.800128,109.298477,83.642357,53.520432,67.731804,37.399498,63.176033,68.575584,59.143684,0.084,0.349
11,0,0.9314,0,110.103653,110.529453,110.103653,109.39975,83.546082,53.5005,67.691772,37.376835,63.150192,68.504524,58.998302,0.084,0.349
12,0,0.932,0,109.901303,110.428352,109.800128,108.893387,83.607811,53.474663,67.653893,37.363605,63.20187,68.555031,58.985676,0.084,0.349
13,0,0.9326,0,110.103653,110.529453,109.395428,108.083206,83.48436,53.487579,67.691772,37.376835,63.150192,68.529778,58.935173,0.084,0.349
14,0,0.9317,0,109.901303,110.529453,109.395428,108.589569,83.66954,53.487579,67.666519,37.337154,63.176033,68.555031,58.998302,0.084,0.349
15,0,0.9307,0,109.901303,110.428352,109.597778,108.994659,83.570778,53.474663,67.653893,37.337154,63.176033,68.567657,59.037022,0.084,0.349
16,4.4297,0.8002,3.54,109.901303,110.529453,109.800128,109.197205,83.657188,53.474663,67.641266,37.323925,63.163113,68.555031,58.985676,0.084,0.349
17,4.4297,0.8038,3.56,109.597778,110.32725,110.002478,109.298477,83.583122,53.487579,67.742271,37.35038,63.227711,68.555031,58.90992,0.084,0.349
18,4.4297,0.8044,3.56,109.597778,110.023945,110.002478,109.298477,83.706573,53.474663,67.742271,37.376835,63.20187,68.555031,58.859417,0.084,0.349
19,4.4297,0.8054,3.57,109.496603,110.125047,110.103653,109.39975,83.694229,53.461742,67.691772,37.337154,63.176033,68.555031,58.88467,0.084,0.349
20,4.4297,0.808,3.58,109.800128,110.32725,109.800128,108.184478,83.66954,53.5005,67.704399,37.323925,63.124355,68.504524,58.872044,0.084,0.349
21,4.4297,0.8063,3.57,109.597778,109.922843,109.395428,108.589569,83.728775,53.533352,67.706551,37.320133,63.20187,68.63871,58.925777,0.084,0.349
22,4.4297,0.8034,3.56,109.395428,110.32725,109.800128,109.39975,83.694229,53.448822,67.666519,37.35038,63.188953,68.64341,58.859417,0.084,0.349
23,4.4297,0.8051,3.57,109.597778,110.32725,109.800128,109.298477,83.731262,53.5005,67.691772,37.337154,63.163113,68.555031,58.808914,0.084,0.349
24,4.4297,0.806,3.57,109.800128,109.922843,110.002478,109.298477,83.706573,53.5005,67.603394,37.310699,63.188953,68.529778,58.796288,0.084,0.349
